text;label
thanks for sharing the information about co working space in uluwatu bali;2
super helpful. wouldnt have thought of coming here without your video. thanks for taking the time to make it. hope you do more!;2
fantastic video!;2
thanks so much for the good information;2
all the cafes look amazing definitely will plan and visit bali!;2
you have done amazing work. thank you so much for the video and for the places!;2
wow im really enjoy your explanation ..cool cafes;2
hey alex, thanks for sharing beautiful cafe. i am waiting next new video! have a great day in bali!;2
thank you so much for this video! very helpful;2
uluwatu is my fav place in bali too;2
new subscriber here, thanks for great vlog, im in bali in 2 weeks so yay;2
epic list, thank you so much!;2
look very good view on the video keep in touch greating from phiromwalker! i like street video;2
sidemen bali...waterfalls tukad cepung;1
ternyata di bali lebih terkenal cafe nya ya dari pada street food nya kaya malay or thai;1
hey alex check out delicioustic cafe in uluwatu great little cafe i think you will like it;2
thanks! hope you like uluwatu just as much i did. although im sure it changed a bit more since i left;2
jam berapo kau tibo?;1
aaakh u kill it gurl!;2
excuse me miss gurl, this is soo cutee?!!;2
sukaaa vibesnyaa;2
agak kayak tukang parkir ngakakk;2
kapan kapan bikin video tutorial planner dongggg;1
hai kinda nice videos reply me please hahah;1
aaaaaa thankyouuuu 3;2
atau bikin lookbook!!!;1
ahhshhaahha hai aleppp!!;2
bagus banget, pasti mahal harga makanan nya;2
kok mirip yg disolok;1
nggak jg kq..msh ramah dikantong kk..;2
payakumbuh ini kk;1
terima kasih telah berbagi video yang sangat bagus. salam dari jepang.;2
pemandangan yang indah;2
tempat nongkrong yg asik;2
ikutan ah keren tempatnya, minuman kaka chocolate rasa semangka jdnya ya hihi. aku suka cireng! pinter deh review nya. terima kasih ya;2
loving the view bro great sharing here fully watched thumbs up done;2
hello new friend, here to watch and support you from houston, texas. it looked like you had a very nice dining experience there.;2
cantik suasana tempat ini sahabat;2
keren nih reviewnya si bocil, itu kaya cireng tante loh yg kmrn dibuat, kering diluar, lembut di dalam. dan kuahanya nggak pedes katanya. kalau suka dingin pas banget ya kalau datang malammalam.;2
hello friend, here watching and supporting you now.;1
kerennn bang,,,si adek jg pinter2 unyu2;2
cafenya sungguh cantik, luas dan mewah sekali kawan. hidangannya pun enak banget ya, selamat menikmati. moga makin sukses dan sehat2 selalu keluarganya ya kawan.;2
keren kaka...videonya bagus banget...sangat jelas...met berbahagia bareng anak tersayang;2
desain cafenya bagus sekali;2
hadirr kawan mantep semoga sehat sellu;2
cantik tempat ni kawan;2
keren banget kak .video kak rey selalu keren pengambilan gambarnya;2
tmpt santainya keren;2
thank you for coming, my friend, really appreciate for your visit... stay connected..;2
terima kasih nik fatima..;1
iy.. nyaman dan udara na sejuk... trma ksih kk..;2
hayuukk mba... hahahaa, terima ksih udah berkunjung... slm kenal semoga sehat selalu y mba.....;2
enjoy your meals to;2
thanks you so much for your support sis hilda..., ,wish you good health...;2
hi deflection..,my new friend.. thank you for coming.. really appreciate for your visit... , thanks much for your support n stay connected..;2
iyaa. minimalis..hehehe, terima kasih sudah menonton sobatku...;2
thanks my friend...;2
hahaaa iya.. skyla suka cireng.., ooh iya kmrn mba na bkin video cireng jg yaa.., ntar d coba deh resep dari aunty na.. iyaa mba suasana mlm na dingin jdi tmbah enak mkan yg panas2...terima kasih mbae udah berkunjung...salam utk keluarga disana...;2
makasih y kak..;2
thanks much my friend...;2
makasih udh mampir y kak.. salam kenal...;2
